,ru-ru,en,,,,,NOTES – use \n for newline,max length
bookdesc07,"Среди тех, кто посвящает себя трансмутации металлов, однако,\nне может быть такой вещи, как посредственность в достижении.\nЧеловек, изучающий это искусство, должен иметь либо всё, либо ничего.\nАлхимик, который знает только половину своего ремесла, пожинает ничего, кроме как\nразочарования и траты времени и денег; более того, они также открыты\nдля насмешек тех, кто презирает наше искусство. Те же, кто действительно преуспел в\nдостижении цели Магистрата, имеют не только бесконечное богатство, но и\nсредства для продолжения жизни и здоровья. Следовательно, это самое популярное из всех занятий.\n","Among those who devote themselves to the transmutation of metals,\nhowever, there can be no such thing as mediocrity of attainment.\nA person who studies this Art, must have either everything or nothing.\nAn Alchemist who knows only half their craft, reaps nothing but disappointment \nand waste of time and money; moreover, they lay themselves open to the mockery \nof those who despise our Art. Those, indeed, who succeed in reaching the goal \nof the Magistery, have not only infinite riches, but the means of continued \nlife and health. Hence it is the most popular of all pursuits. ",,,,,doesn't need to be translated,
booktitle08,Изумрудная скрижаль - том VIII,Emerald Tablet - volume VIII,,,,,doesn't need to be translated,
bookdesc08,"Горе всем вам, дуракам!\nКак же вы невежественны в этом Искусстве, за которое вы бы умерли,\nколи бы вы только знали о нём! Клянусь вам, что если бы короли\nбыли знакомы с ним, никто из нас никогда бы не смог достичь его.\nО, как же эта природа превращает тело в дух! О, как же замечательна Природа, как она руководит всеми и преодолевает всё.\n","Woe unto all ye fools! \nHow ignorant are ye of this Art, for which ye would die if ye knew it! \nI swear to you that if kings were familiar with it, \nnone of us would ever attain this thing. \nO how this nature changeth body into spirit! \nO how admirable is Nature, how she presides over all, and overcomes all.\n",,,,,doesn't need to be translated,
booktitle09,Изумрудная скрижаль - том IX,Emerald Tablet - volume IX,,,,,doesn't need to be translated,
bookdesc09,"Таким образом, природа генерирует из этой серы различные виды металлов в жилах земли,\nв зависимости от разнообразия степеней и изменений.\n","In this way, then, Nature generates by means of \nthis sulphur the different kinds of metals in the \nveins of the earth, according to the diversity of \ndegrees and alterations.\n",,,,,doesn't need to be translated,
booktitle10,Изумрудная скрижаль - том Х,Emerald Tablet - volume X,,,,,doesn't need to be translated,
bookdesc10,"Возьмите, говорит он, камень из злата, объедените с юмором,\nчто есть нескончаемая вода, расположенная в своём сосуде,\nнад нежным огнём, пока не произойдёт разжижение.\nЗатем оставьте его, пока вода не высохнет, и песок и вода не соединятся\nдруг с другом; затем пусть огонь будет более интенсивным,\nчем прежде, пока он снова не высохнет и\nне станет землёй.\nКогда это будет сделано, поймите, что это начало аркана; но делайте это много раз,\nдо тех пор, пока две трети воды не исчезнут, и краски не проявятся для вас.\n","Take, he tells us, the stone of gold, combine with humour which is \npermanent water, set in its vessel, over a gentle fire until liquefaction \ntakes place. Then leave it until the water dries, and the sand and \nwater are combined, one with another; then let the fire be more intense\nthan before, until it again becomes dry, and is made earth. When this is done, \nunderstand that here is the beginning of the arcanum; but do this many times,\nuntil two-thirds of the water perish, and colours manifest unto you.",,,,,doesn't need to be translated,
booktitle_corpse,Табула Смарагдина,Tabula Smaragdina,,,,,doesn't need to be translated,
bookdesc_corpse,"Если бы все горы были из серебра и золота,\nчто бы они принесли человеку, живущему в постоянном страхе перед смертью?\nПоэтому во всём мире не может быть ничего лучше нашей Медицины,\nкоторая имеет силу исцелять все болезни плоти.\n","If all the mountains were of silver and gold, what would \nthey profit a man who lives in constant fear of death? \nHence there cannot be in the whole world anything better than our Medicine,\nwhich has power to heal all the diseases of the flesh.",,,,,doesn't need to be translated,
booktitle_tree,Секреториум Герметис,Secretorum Hermetis,,,,,doesn't need to be translated,
bookdesc_tree,Жертвоприношение себя в стремлении к знаниям – это\nвысшая дань уважения богам.,The sacrifice of oneself to the pursuit of \nknowledge is the highest tribute to the gods.,,,,,doesn't need to be translated,
menu_paused,ПРИОСТАНОВЛЕНО,PAUSED,,,,,,
menu_continue,Продолжить,Continue,,,,,,
menu_options,Параметры,Options,,,,,,
menu_stats,Статистика,Stats,,,,,,
menu_progress,Прогресс,Progress,,,,,,
menu_releasenotes,Заметки о выпуске,Release Notes,,,,,,
menu_credits,Авторы,Credits,,,,,,
menu_newgame,Новая игра,New Game,,,,,,
menu_dailyrun,Ежедневное прохождение,Daily Run,,,,,,
menu_saveandquit,Сохранить и выйти,Save & Quit,,,,,,
menu_return,Вернуться,Return,,,,,,
menu_applyandreturn,Применить и вернуться,Apply & Return,,,,,,
menu_cancel,Отмена,Cancel,,,,,,
menu_yes,Да,Yes,,,,,,
menu_no,Нет,No,,,,,,
menu_ok,OК,Ok,,,,,,
menu_high,Высоко,High,,,,,,
menu_medium,Средне,Medium,,,,,,
menu_low,Низко,Low,,,,,,
option_on,Вкл.,On,,,,,,
option_off,Выкл.,Off,,,,,,
option_adaptive,Адаптивная,Adaptive,,,,,,
menu_newgame_areyousure,Действительно начать новую игру? Прогресс в текущем прохождении будет потерян.,Are you sure you want to start a new game? All progress from current run will be lost.,,,,,,
menuoptions_windowmode,Оконный режим: $0,Window mode: $0,,,,,,
windowmode_windowed,Оконный,Windowed,,,,,,
windowmode_fullscreen,Полноэкранный (в окне),Fullscreen (windowed),,,,,,
windowmode_fullscreen_real,Полноэкранный,Fullscreen (real),,,,,,
menuoptions_resolution,Разрешение: $0,Resolution: $0,,,,,,
menuoptions_resolution_illegible, — ВНИМАНИЕ: изображение может быть неразличимым!, - WARNING: Might be illegible!,,,,,,
menuoptions_matchresolution,Использовать текущее разрешение экрана,Use current display's resolution,,,,,,
menuoptions_applydisplay,Применить настройки отображения,Apply display settings,,,,,,
menuoptions_renderingquality,Качество отрисовки,Rendering quality,,,,,,
menuoptions_lowqualityrendering,Низкокачественная отрисовка: $0,Low quality rendering: $0,,,,,,
menuoptions_vsync,Верт. синхронизация: $0,Vsync: $0,,,,,,
menuoptions_display_areyousure,Сохранить новые настройки отображения? Предыдущие значения будут восстановлены через $0 с.,Do you want to keep the new display settings? Old settings will be restored in $0 seconds.,,,,,,
menuoptions_resetsave,Сбросить весь прогресс,Reset all progress,,,,,,
menuoptions_resetsave_areyousure,Действительно сбросить весь прогресс? Это действие нельзя отменить!,Are you sure you want to reset all progress? This cannot be undone!,,,,,,
menugameover_newgame,Новая игра,New Game,,,,,,
menugameover_savereplay,Сохранить повтор смерти,Save death replay,,,,,,
menugameover_quit,Выход,Quit,,,,,,
menugameover_gamecompleted,ИГРА ПРОЙДЕНА!,COMPLETED THE GAME!,,,,,,
menugameover_nextbutton,Вы мертвы — нажмите здесь и посмотрите статистику,You are dead - click here for stats,,,,,,
menugameover_records,РЕКОРДЫ,RECORDS,,,,,as in 'world record',
menuoptions_pixelart_aa,Сглаживание пиксельной графики: $0,Pixel art anti-aliasing: $0,,,,,,
menuoptions_lowres,Отрисовка в низком разрешении: $0,Low resolution rendering: $0,,,,,,
menuoptions_lowres_tooltip_exp,ЭКСПЕРИМЕНТАЛЬНАЯ ФУНКЦИЯ. Могут появиться глюки отрисовки.,EXPERIMENTAL. Might cause minor rendering glitches.,,,,,,
menuoptions_lowres_tooltip,Улучшает производительность отрисовки. Могут появиться глюки.,"Improves rendering performance, but might cause minor rendering glitches.",,,,,,
menuoptions_brightness,Яркость,Brightness,,,,,,
menuoptions_contrast,Контрастность,Contrast,,,,,,
menuoptions_gamma,Гамма,Gamma,,,,,,
menuoptions_reset_keyboard,ПКМ — вернуть настройки по умолчанию.,Right click to reset to default.,,,,,,
menuoptions_reset_gamepad,Кнопка B — вернуть настройки по умолчанию.,Press B to reset to default.,,,,,,
menuoptions_musicvolume,Громкость музыки,Music volume,,,,,,
menuoptions_soundsvolume,Громкость звуковых эффектов,Sound effect volume,,,,,,
menuoptions_configurecontrols,Настроить управление,Configure controls,,,,,,
menuoptions_configurecontrols_reset_all,Вернуть все настройки по умолчанию,Reset all to default,,,,,,
menuoptions_configurecontrols_rebind_keyboard,Нажмите клавишу или кнопку для действия «$0»,Press the key or button for $0,,,,,,
menuoptions_configurecontrols_rebind_gamepad,Нажмите кнопку для действия «$0»,Press the button for $0,,,,,,
menuoptions_controls,Геймпад: $0,Gamepad: $0,,,,,,
menuoptions_mousesensitivity,Чувствительность мыши,Mouse sensitivity,,,,,,
menuoptions_controls_keyboard,Мышь + клавиатура,Mouse + Keyboard,,,,,,
menuoptions_controls_autodetectgamepad,Автоопределение,Auto-detect,,,,,,
menuoptions_gamepad_rumble,Громкость вибрации геймпада,Gamepad rumble intensity,,,,,,
menuoptions_ui_inventory_icons_always_clickable,При щелчке по значку меняется предмет: $0,Click on icon switches item: $0,,,,,,
menuoptions_application_rendered_cursor,Отрисовка курсора игрой: $0,Game renders the cursor: $0,,,,,,
menuoptions_screenshake_intensity,Интенсивность дрожания экрана,Screen shake intensity,,,,,,
menuoptions_damagenumbers,Цифры урона: $0,Damage numbers: $0,,,,,,
menuoptions_replayrecorder,Запись повторов: $0,Replay recorder: $0,,,,,,
menuoptions_checkforupdates,Проверка наличия обновлений: $0,Check for updates: $0,,,,,,
menuoptions_language,Язык (Language): русский (Сообщество),Language: English,,,,,,
menuupdatenotification_title,ВЫШЛО ОБНОВЛЕНИЕ,NEW UPDATE AVAILABLE,,,,,,
menuupdatenotification_description_generic,"Вышла новая сборка игры Noita!\nЧтобы прочитать заметки о выпуске, нажмите здесь",A new build of Noita is now available!\nClick here for release notes,,,,,,
menureleasenotes_notavailable,Заметок о выпуске нет,No release notes available,,,,,,
menureleasenotes_eawarning,"Добро пожаловать в Noita!\nЭта игра находится на стадии раннего доступа.\nВ ней есть ошибки, и она может иногда давать сбои!\nМы стараемся исправлять ошибки и добавлять новые функции.",Welcome to Noita!\nNoita is an early access game.\nIt contains bugs and may even sometimes crash!\nWe're working hard to fix things and add new features.,,,,,PLACEHOLDER,
controls_up,вверх,up,,,,,,
controls_down,вниз,down,,,,,,
controls_left,влево,left,,,,,,
controls_right,вправо,right,,,,,,
controls_sprayflask,распылить из бутыли,spray from potion,,,,,,
controls_throw,бросить,throw,,,,,,
controls_kick,ударить,kick,,,,,,
controls_inventory,открыть (закрыть) инвентарь,open/close inventory,,,,,,
controls_itemnext,следующий предмет,next item,,,,,,
controls_itemprev,предыдущий предмет,previous item,,,,,,
controls_itemslot1,выбрать первый предмет,select item in slot 1,,,,,,
controls_itemslot2,выбрать второй предмет,select item in slot 2,,,,,,
controls_itemslot3,выбрать третий предмет,select item in slot 3,,,,,,
controls_itemslot4,выбрать четвёртый предмет,select item in slot 4,,,,,,
controls_itemslot5,выбрать пятый предмет,select item in slot 5,,,,,,
controls_itemslot6,выбрать шестой предмет,select item in slot 6,,,,,,
controls_itemslot7,выбрать седьмой предмет,select item in slot 7,,,,,,
controls_itemslot8,выбрать восьмой предмет,select item in slot 8,,,,,,
controls_itemslot9,выбрать девятый предмет,select item in slot 9,,,,,,
controls_itemslot10,выбрать десятый предмет,select item in slot 10,,,,,,
controls_escape,приостановить (закрыть),pause/close,,,,,,
hud_air_unit,o2,o2,,,,,,
hud_air,Воздух: $0 / $1,Air: $0 / $1,,,,,,
hud_health,Здоровье: $0 / $1,Health: $0 / $1,,,,,,
hud_jetpack,Энергия левитации: $0 / $1,Levitation energy: $0 / $1,,,,,,
hud_wand_mana,Мана жезла: $0 / $1,Wand mana: $0 / $1,,,,,,
hud_wand_reload,Перезарядка жезла: $0 с,Wand recharge: $0 s,,,,,,
hud_gold,Золото: $0,Gold: $0,,,,,,
hud_orbs,Собрано шаров: $0,Orbs collected: $0,,,,,,
hud_title_wands,ЖЕЗЛЫ,WANDS,,,,,,
hud_title_throwables,ПРЕДМЕТЫ,ITEMS,,,,,,
hud_title_actionstorage,ЗАКЛИНАНИЯ,SPELLS,,,,,,
menu_newwand_title,НОВЫЙ ЖЕЗЛ,NEW WAND,,,,,,
menu_newwand_pressagain_pick,"Чтобы взять жезл, нажмите $0 ещё раз",Press $0 again to pick the wand,,,,,,
menu_newwand_pressagain_cancel,Отмена — $0,Press $0 to cancel,,,,,,
menu_newwand_whichwand_gamepad,КАКОЙ ЖЕЗЛ ВЫБРОСИТЬ?,WHICH WAND DO YOU WANT TO DROP?,,,,,,
menu_newwand_whichwand_keyboard,КАКОЙ ЖЕЗЛ ВЫБРОСИТЬ? (нажмите на него!),WHICH WAND DO YOU WANT TO DROP? (Click it!),,,,,,
menu_newwand_emptyslot,$0 — пустая ячейка,$0 - empty slot,,,,,,
menu_newbook_pressagain_pick,"Чтобы взять книгу, нажмите $0 ещё раз",Press $0 again to pick the book,,,,,,
menu_newbook_pressagain_close,Закрыть — $0,Press $0 to close,,,,,,
item_empty,Пусто,Empty,,,,,,
item_wand,Жезл,Wand,,,,,,
item_potion,Бутыль,Potion,,,,,,
item_cocktail,Коктейль,Cocktail,,,,,,
item_orb,Шар,Orb,,,,,,
item_description_potion,Установить и бросить,Equip and throw,,,,,,
item_description_egg,Установить и бросить,Equip and throw,,,,,,
item_potion_with_material,Бутыль ($0),$0 potion,,,,,,
item_potion_fullness, (осталось: $0%), ($0% full),,,,,,
item_potion_empty,Пусто,Empty,,,,,,
item_egg,Яйцо,Egg,,,,,,
item_chest_treasure,Сундук с сокровищами,Treasure chest,,,,,,
item_goldnugget,Золотой самородок,Gold nugget,,,,,,
item_heart,Доп. макс. ОЗ,Extra max HP,,,,,,
item_heart_better,Большие доп. макс. ОЗ,Large extra max HP,,,,,,
item_heart_fullhp,Полное восстановление здоровья,Full health regeneration,,,,,,
item_unidentified,Неопознанный предмет,Unidentified item,,,,,,
itempickup_notenoughgold,Недостаточно золота для покупки ($0),Not enough gold to purchase '$0',,,,,,
itempickup_purchase,$0 — купить ($1),Press $0 to purchase '$1',,,,,,
itempickup_pick,$0 — взять ($1),Press $0 to pick '$1',,,,,,
itempickup_read,$0 — прочитать ($1),Press $0 to read '$1',,,,,,
itempickup_purchase_swap,$0 — купить ($1) и поменять с предметом,Press $0 to purchase '$1' and swap an item with it,,,,,,
itempickup_pick_swap,$0 — поменять предмет «$1» с другим,Press $0 to swap an item with '$1',,,,,,
itempickup_cannotpick,Не удаётся взять предмет «$0». Необходимо место — избавьтесь от другого предмета,Cannot pick '$0'. Please get rid of an item to make space for it,,,,,,
itempickup_cannotpick_closeinventory,"Чтобы взять предмет «$0», закройте инвентарь",Close the inventory first to pick '$0',,,,,,
hint_editwands,Изменить жезлы — $0,Press $0 to tinker with wands,,,,,,
hint_endingmcguffin_use,Выполнить Великий труд — $0,Press $0 to complete the Work,,,,,,
log_pickedup_perk,$0 ,$0 ,,,,,,
log_pickedup,Взято: $0,Picked up $0,,,,,,
log_equipped,Установлено: $0,Equipped $0,,,,,,
log_entered,Выполнен вход: $0,Entered $0,,,,,,
log_damage,Урон: $0,Damage: $0,,,,,,
log_death,Смерть: $0,Death: $0,,,,,,
log_teleported,Сработал телепорт!,Teleported!,,,,,,
log_teleported_something,Нечто вошло в телепорт поблизости,Something entered a teleport nearby,,,,,,
log_gamefx_savinggrace,Единственное спасение спасло вас!,Saving Grace saved you!,,,,,,
log_gamefx_respawn,Вы получаете ещё один шанс!,You get one more chance!,,,,,,
logdesc_gamefx_respawn,Дополнительная жизнь спасла вас,Extra life saved you,,,,,,
log_recharging,ПЕРЕЗАРЯДКА…,RECHARGING..,,,,,,
log_blindness,Временная слепота!,Temporarily blinded!,,,,,,
log_polymorph,Полиморфизм!,Polymorphed!,,,,,,
log_block_attack,БЛОК,BLOCK,,,,,,
log_coop_resurrected,ОЖИВЛЕНИЕ,RESURRECTED,,,,,,
log_coop_resurrected_player,Оживлён игрок $0!,Resurrected player $0!,,,,,,
log_coop_partner_is_dead,Партнёр умер!,Partner is dead!,,,,,,
log_coop_started,СОВМЕСТНАЯ ИГРА!,CO-OP!,,,,,,
log_chest,Открыт сундук с сокровищами!,Opened a treasure chest!,,,,,,
logdesc_chest_gold,Вы получили $0 ед. золота!,You got $0 gold!,,,,,,
log_heart,Взято дополнительное максимальное здоровье,Picked up Extra Max Health,,,,,,
logdesc_heart,Максимум здоровья увеличен до $0,Increased maximum health to $0,,,,,,
logdesc_heart_blocked,Максимум здоровья увеличен до $0… Но какое-то проклятие не дало этому случиться!,Increased maximum health to $0 ..but some sort of curse blocked the increase of maximum health!,,,,,,
log_heart_better,Взято дополнительное максимальное здоровье,Picked up Extra Max Health,,,,,,
logdesc_heart_better,Максимум здоровья увеличен до $0,Increased maximum health to $0,,,,,,
log_heart_fullhp,Взято полное восстановление здоровья,Picked up Full Health Regeneration,,,,,,
log_discovered,Вы обнаружили следующее: $0,You have discovered $0,,,,,,
inventory_sort,По порядку,Sort,,,,,,
inventory_shuffle,Случайно,Shuffle,,,,,,
inventory_shuffle_tooltip,Жезлы со случайным порядком накладывают заклинания в случайном порядке.,Wands that shuffle cast their spells in random order.,,,,,,
inventory_actionspercast,Заклинания/использование,Spells/Cast,,,,,,
inventory_actionspercast_tooltip,"Число заклинаний, которые накладывает жезл при использовании.",The number of spells this wand casts when used.,,,,,,
inventory_castdelay,Задержка заклинаний,Cast delay,,,,,,
inventory_castdelay_tooltip,Время между наложением заклинаний.,The time between casts.,,,,,,
inventory_rechargetime,Время перезар.,Rechrg. Time,,,,,,
inventory_rechargetime_tooltip,"Время, необходимое для перезарядки жезла, когда все содержащиеся в нём заклинания использованы.",The time it takes for this wand to recharge when all spells inside it have been cast.,,,,,,
inventory_manamax,Максимум маны,Mana max,,,,,,
inventory_manamax_tooltip,Максимум хранимой жезлом маны.,Maximum amount of mana this wand can store.,,,,,,
inventory_manachargespeed,Скор. восст. маны,Mana chg. Spd,,,,,,
inventory_manachargespeed_tooltip,Скорость восстановления маны у жезла.,This wand's mana regeneration speed.,,,,,,
inventory_capacity,Ёмкость,Capacity,,,,,,
inventory_capacity_tooltip,"Число заклинаний, которые можно вставить в жезл.",The number of spells that can be inserted into this wand.,,,,,,
inventory_spread,Разброс,Spread,,,,,,
inventory_spread_tooltip,Разброс испущенных жезлом снарядов.,The directional deviation of projectiles casted by this wand.,,,,,,
inventory_chargecapacity,Емкость заряда,Charge capacity,,,,,,
inventory_alwayscasts,Всегда накладывает,Always casts,,,,,,
inventory_alwayscasts_description,Жезл накладывает некоторые заклинания при каждом использовании.,This wand casts some spells every time it's used.,,,,,,
inventory_usesremaining,Осталось использований,Uses remaining,,,,,,
inventory_actiontype,Тип,Type,,,,,,
inventory_manadrain,Расход маны,Mana drain,,,,,,
inventory_damage,Урон,Damage,,,,,,
inventory_dmg_explosion,Урон взрывом,Dmg. Expl,,,,,,
inventory_explosion_radius,Радиус взрыва,Expl. Radius,,,,,,
inventory_dmg_slice,Урон резанием,Dmg. Slice,,,,,,
inventory_dmg_drill,Урон бурением,Dmg. Drill,,,,,,
inventory_dmg_fire,Урон огнем,Dmg. Fire,,,,,,
inventory_dmg_ice,Урон льдом,Dmg. Ice,,,,,,
inventory_speed,Скорость,Speed,,,,,,
inventory_mod_castdelay,Задержка заклинаний,Cast delay,,,,,,
inventory_mod_rechargetime,Время перезарядки,Recharge time,,,,,,
inventory_mod_bounces,Отскоки,Bounces,,,,,,
inventory_mod_speed,Скор. снар.,Proj. Speed,,,,,,
inventory_mod_explosion_radius,Радиус взрыва,Expl. Radius,,,,,,
inventory_mod_spread,Разброс,Spread,,,,,,
inventory_mod_knockback,Отбрасывание,Knockback,,,,,,
inventory_mod_damage,Урон,Damage,,,,,,
inventory_mod_damage_melee,Урон врукопашную,Dmg. Melee,,,,,,
inventory_mod_damage_electric,Урон электричеством,Dmg. Electric,,,,,,
inventory_mod_damage_fire,Урон огнём,Dmg. Fire,,,,,,
inventory_mod_damage_explosion,Урон взрывом,Dmg. Expl,,,,,,
inventory_mod_critchance,Шанс крит. удара,Crit. Chance,,,,,,
inventory_warning_noactions,ВНИМАНИЕ! В жезле нет заклинаний,WARNING - This wand contains no spells,,,,,,
inventory_warning_noactions_description,Жезл ничего не делает. Поставьте в ячейки жезла пару заклинаний.,The wand doesn't do anything. Place some spells into the wand's slots.,,,,,,
inventory_warning_notenoughmana,ВНИМАНИЕ! В жезле недостаточно маны для заклинания $0,WARNING - This wand doesn't have enough mana for $0,,,,,,
inventory_warning_notenoughmana_description,Максимум маны у жезла — $0. На заклинание $1 нужно $2 ед. маны.,Wand has max $0 mana. Casting $1 requires $2 mana.,,,,,,
inventory_info_frozen,ИНФОРМАЦИЯ: жезл заморожен,INFO - This wand has been frozen,,,,,,
inventory_info_frozen_description,Заклинание не даёт настроить жезл.,A spell prevents the wand from being customized.,,,,,,
inventory_seconds,$0 с,$0 s,,,,,,
inventory_degrees,$0 ГРАД,$0 DEG,,,,,,
inventory_actiontype_projectile,Снаряд,Projectile,,,,,,
inventory_actiontype_staticprojectile,Стат. снаряд,Static proj.,,,,,,
inventory_actiontype_modifier,Модиф. снаряда,Proj. modifier,,,,,,
inventory_actiontype_drawmany,Множ. налож.,Multicast,,,,,,
inventory_actiontype_material,Материал,Material,,,,,,
inventory_actiontype_other,Другое,Other,,,,,,
inventory_actiontype_utility,Полезное,Utility,,,,,,
inventory_actiontype_passive,Пассивное,Passive,,,,,,
item_spell_refresh,Обновление заклинаний,Spell refresher,,,,,,
itemtitle_spell_refresh,Взято обновление заклинаний,Picked up Spell refresher,,,,,,
itemdesc_spell_refresh,Все заклинания обновлены,All spells refreshed,,,,,,
itemtitle_wand_pickup,Взят новый волшебный жезл,Picked up a new magic wand,,,,,,
itemtitle_chest_open,Открыт сундук с сокровищами!,Opened a treasure chest!,,,,,,
itemtitle_chest_broken_open,Сундук был взломан,A chest was broken open,,,,,,
log_endcrystal,Коснулись проклятого кристалла!,Touched the cursed crystal!,,,,,,
logdesc_endcrystal,Что-то колышется над вами,Something stirs above you,,,,,,
logdesc_temple_spawn_guardian,Вы разозлили богов,You have angered the Gods,,,,,,
logdesc_gods_are_angry,Вы разозлили богов,You have angered the Gods,,,,,,
logdesc_gods_are_very_angry,Боги очень злы на вас,The Gods are very angry with you,,,,,,
damage_projectile,снаряд,projectile,,,,,,
damage_electricity,электричество,electricity,,,,,,
damage_explosion,взрыв,explosion,,,,,,
damage_fire,огонь,fire,,,,,,
damage_melee,рукопашная,melee,,,,,,
damage_drill,бурение,drill,,,,,,
damage_slice,резание,slice,,,,,,
damage_ice,лед,ice,,,,,,
damage_healing,лечение,healing,,,,,,
damage_physicshit,физический удар,physics hit,,,,,,
damage_radioactive,радиоактивность,toxic,,,,,,
damage_poison,яд,poison,,,,,,
damage_water,влажность,wetness,,,,,,
damage_fall,падение,fall,,,,,,
damage_drowning,утопление,drowning,,,,,,
damage_frommaterial,урон от материала: $0,damage from material: $0,,,,,,
damage_kick,ударить,kick,,,,,,
damage_holy_mountains_curse,Проклятие Святой горы,Holy Mountain's curse,,,,,,
stat_depth,Глубина:,Depth:,,,,,,
stat_time,Время:,Time:,,,,,,
stat_places_visited,Посещено мест:,Places visited:,,,,,,
